1628695800000,46687.76000000,46743.47000000,46500.00000000,46635.75000000,945.34320100,1628696699999,44067559.66799637,28716,473.39267300,22072540.36225583,0
1628696700000,46635.76000000,46649.56000000,46370.00000000,46456.02000000,704.52737900,1628697599999,32750085.75698005,22704,332.31629600,15446741.42610325,0
1628697600000,46456.91000000,46518.00000000,46270.62000000,46417.52000000,925.31301100,1628698499999,42912585.84175938,22438,511.05410000,23702846.71254025,0
1628698500000,46411.74000000,46576.52000000,46330.04000000,46386.98000000,626.19958300,1628699399999,29100724.52924974,18306,313.63858200,14577067.42718525,0
1628699400000,46386.99000000,46433.67000000,46316.42000000,46346.29000000,468.75141900,1628700299999,21737756.39818659,13521,220.06337100,10205790.71960508,0
1628700300000,46347.52000000,46423.54000000,46205.37000000,46347.78000000,591.96244500,1628701199999,27415995.09741847,15014,302.82865500,14027202.65974678,0
1628701200000,46347.78000000,46441.22000000,46262.87000000,46390.86000000,419.21409900,1628702099999,19434373.84327638,12871,230.86265500,10703773.83727631,0
1628702100000,46390.86000000,46399.71000000,46313.93000000,46363.57000000,242.64321100,1628702999999,11249406.15770055,9744,131.81644800,6111331.23711256,0
1628703000000,46363.58000000,46519.99000000,46363.57000000,46439.44000000,353.52621400,1628703899999,16423457.51271409,11915,191.30233800,8887479.12592206,0
1628703900000,46439.44000000,46605.84000000,46405.00000000,46522.11000000,444.97457200,1628704799999,20689693.27395615,12967,244.64344700,11376652.10203789,0
1628704800000,46522.14000000,46607.94000000,46350.01000000,46360.00000000,426.07916200,1628705699999,19790633.77223944,10863,218.98582900,10174010.68204482,0
1628705700000,46360.00000000,46360.01000000,46270.01000000,46313.55000000,426.19280200,1628706599999,19733591.66895562,12140,239.40914400,11084733.46481773,0
1628706600000,46313.54000000,46412.58000000,46277.52000000,46351.50000000,370.28320700,1628707499999,17150928.78829909,10408,228.96844400,10606329.94818790,0
1628707500000,46351.51000000,46441.00000000,46272.22000000,46302.83000000,284.20002400,1628708399999,13169276.95164660,9692,159.79497100,7404396.68737966,0
1628708400000,46302.83000000,46372.69000000,46229.99000000,46299.43000000,318.05354100,1628709299999,14725050.62726607,10794,166.43475400,7705888.59074678,0
1628709300000,46299.43000000,46350.00000000,46212.00000000,46339.98000000,349.03163900,1628710199999,16150858.39910239,10242,162.91304000,7539079.03908604,0
1628710200000,46340.00000000,46379.94000000,46266.76000000,46359.36000000,242.41322300,1628711099999,11232198.34018781,9816,120.07905800,5564142.46652538,0
1628711100000,46359.37000000,46485.29000000,46310.00000000,46448.00000000,558.38149800,1628711999999,25916630.70361068,15130,353.61723800,16412231.95649602,0
1628712000000,46448.01000000,46666.00000000,46416.99000000,46601.00000000,603.53036400,1628712899999,28108496.60933641,18568,352.87400800,16434394.87424185,0
1628712900000,46601.00000000,46680.00000000,46551.36000000,46557.67000000,479.42555800,1628713799999,22345245.49437401,13421,286.31545200,13346491.43606865,0
1628713800000,46557.68000000,46587.94000000,46446.91000000,46504.69000000,438.44377000,1628714699999,20398542.83337617,11383,160.58651100,7472684.97140296,0
1628714700000,46504.69000000,46504.70000000,46307.20000000,46319.74000000,390.82253800,1628715599999,18127409.51092231,12044,195.00488600,9044816.98744096,0
1628715600000,46319.73000000,46319.74000000,45988.98000000,46100.48000000,1213.18726400,1628716499999,55951218.45201985,36689,471.22404400,21737576.19354286,0
1628716500000,46100.48000000,46185.96000000,45900.12000000,46148.93000000,710.75778500,1628717399999,32700354.22825231,24239,352.01349000,16196493.61370559,0
1628717400000,46148.93000000,46374.41000000,46064.88000000,46281.71000000,340.12486700,1628718299999,15736475.31942399,17250,167.88413200,7766606.55810180,0
1628718300000,46281.71000000,46388.62000000,46216.41000000,46334.58000000,367.77688700,1628719199999,17037739.63285930,13301,188.41442300,8728715.88589908,0
1628719200000,46334.57000000,46347.66000000,46074.11000000,46088.99000000,580.43146000,1628720099999,26811452.38859197,29747,301.08698500,13905216.41541098,0
1628720100000,46089.00000000,46118.20000000,45550.00000000,45735.56000000,1641.45449000,1628720999999,75160689.12473511,54551,746.00847200,34152981.28098385,0
1628721000000,45735.56000000,45850.72000000,45608.36000000,45723.37000000,655.54399100,1628721899999,30005897.77994918,31153,330.26666100,15118491.44015890,0
1628721900000,45723.37000000,45796.47000000,45600.01000000,45756.69000000,611.60135100,1628722799999,27945538.03714313,30734,315.66977300,14424808.39665314,0
1628722800000,45756.68000000,45914.00000000,45677.42000000,45690.01000000,529.47492400,1628723699999,24263571.34576458,33743,252.48474600,11572501.13799579,0
1628723700000,45690.01000000,45831.31000000,45551.83000000,45650.08000000,540.42809400,1628724599999,24690140.70344123,34043,257.35142100,11759403.25558841,0
1628724600000,45650.08000000,45735.01000000,45580.00000000,45662.27000000,408.48926800,1628725499999,18652344.53110076,30592,222.50260300,10160414.92783654,0
1628725500000,45660.00000000,45689.99000000,45510.66000000,45511.00000000,422.85290200,1628726399999,19284005.29653269,32435,210.89728700,9619233.39749959,0
1628726400000,45510.67000000,45877.76000000,45392.44000000,45836.99000000,1319.81860900,1628727299999,60187641.60334519,36981,551.90388400,25180494.00434573,0
1628727300000,45836.99000000,45880.00000000,45720.00000000,45737.00000000,345.24028000,1628728199999,15805140.17939361,23248,158.33758900,7249242.93657899,0
1628728200000,45736.99000000,45736.99000000,45518.33000000,45722.34000000,383.04042500,1628729099999,17469474.87674324,22054,168.30003100,7676346.00644743,0
1628729100000,45722.94000000,45781.34000000,45610.00000000,45761.74000000,366.19448100,1628729999999,16740084.02058296,20726,196.29040700,8973323.19557944,0
