,sym_1,sym_2,p_value,t_value,c_value,hedge_ratio,zero_crossings
22,LTCUSDT,MASKUSDT,0.03,-3.58,-3.37,24.07,19
19,LTCUSDT,CHRUSDT,0.03,-3.58,-3.37,271.45,19
12,EOSUSDT,STXUSDT,0.02,-3.71,-3.37,1.85,19
175,C98USDT,RSRUSDT,0.04,-3.41,-3.37,99.97,19
149,HBARUSDT,GRTUSDT,0.03,-3.52,-3.37,0.61,18
93,TRXUSDT,LOOKSUSDT,0.0,-4.13,-3.37,0.05,18
212,AUDIOUSDT,DOGEUSDT,0.04,-3.41,-3.37,6.21,18
92,TRXUSDT,SPELLUSDT,0.0,-4.66,-3.37,13.86,18
73,MATICUSDT,LITUSDT,0.01,-3.82,-3.37,1.11,18
197,SLPUSDT,TRXUSDT,0.02,-3.71,-3.37,0.33,18
188,FLOWUSDT,ANKRUSDT,0.03,-3.55,-3.37,88.59,18
59,SUSHIUSDT,EGLDUSDT,0.01,-3.94,-3.37,0.02,18
76,MATICUSDT,KAVAUSDT,0.02,-3.59,-3.37,0.48,18
183,ALICEUSDT,SANDUSDT,0.02,-3.7,-3.37,2.3,18
155,HBARUSDT,SNXUSDT,0.03,-3.55,-3.37,0.06,18
43,ADAUSDT,1INCHUSDT,0.04,-3.38,-3.37,0.63,17
6,ETHUSDT,ZECUSDT,0.01,-4.07,-3.37,25.57,17
131,DYDXUSDT,IOTXUSDT,0.05,-3.37,-3.37,72.65,17
205,LPTUSDT,ARUSDT,0.02,-3.73,-3.37,0.85,17
166,HBARUSDT,JASMYUSDT,0.05,-3.37,-3.37,12.41,17
232,HNTUSDT,XTZUSDT,0.04,-3.38,-3.37,7.31,17
52,DOTUSDT,ONEUSDT,0.0,-4.21,-3.37,119.98,17
90,TRXUSDT,IMXUSDT,0.02,-3.68,-3.37,0.04,17
53,DOTUSDT,CVCUSDT,0.04,-3.46,-3.37,65.25,17
167,HBARUSDT,10000NFTUSDT,0.0,-4.54,-3.37,12.65,16
88,TRXUSDT,GRTUSDT,0.0,-4.87,-3.37,0.17,16
158,HBARUSDT,AUDIOUSDT,0.0,-4.5,-3.37,0.28,16
65,MATICUSDT,BTCUSDT,0.04,-3.42,-3.37,0.0,16
87,TRXUSDT,KSMUSDT,0.04,-3.46,-3.37,0.0,16
20,LTCUSDT,LITUSDT,0.02,-3.69,-3.37,78.74,16
150,HBARUSDT,DYDXUSDT,0.04,-3.47,-3.37,0.04,16
146,FTTUSDT,NEOUSDT,0.01,-3.78,-3.37,2.03,16
95,TRXUSDT,XNOUSDT,0.01,-3.98,-3.37,0.03,16
173,C98USDT,DASHUSDT,0.03,-3.54,-3.37,0.01,16
196,SLPUSDT,SOLUSDT,0.04,-3.41,-3.37,0.0,16
123,AVAXUSDT,CROUSDT,0.0,-4.16,-3.37,191.3,16
132,DYDXUSDT,LITUSDT,0.03,-3.5,-3.37,3.97,16
